item_id,title,description,institution,course_url
oulad_DDD_2013B,Design and Innovation - Module DDD (2013B),"Open University module in Design and Innovation. Course duration: 240 days. This module includes various learning resources and activities including: externalquiz (7), forumng (11), glossary (1), homepage (1), oucontent (6), ouelluminate (4), ouwiki (9), page (1), resource (182), subpage (114), url (92).",Open University,
oulad_DDD_2014B,Design and Innovation - Module DDD (2014B),"Open University module in Design and Innovation. Course duration: 241 days. This module includes various learning resources and activities including: externalquiz (7), forumng (13), glossary (1), homepage (1), oucollaborate (5), oucontent (13), ouwiki (2), resource (177), subpage (193), url (41).",Open University,
oulad_EEE_2013J,Engineering and Technology - Module EEE (2013J),"Open University module in Engineering and Technology. Course duration: 268 days. This module includes various learning resources and activities including: dualpane (1), forumng (5), homepage (1), oucollaborate (1), oucontent (48), ouwiki (2), page (4), quiz (2), resource (34), subpage (7), url (7).",Open University,
oulad_EEE_2014J,Engineering and Technology - Module EEE (2014J),"Open University module in Engineering and Technology. Course duration: 269 days. This module includes various learning resources and activities including: dualpane (1), forumng (5), homepage (1), oucollaborate (4), oucontent (45), ouwiki (3), page (3), quiz (2), resource (37), subpage (7), url (7).",Open University,
oulad_EEE_2014B,Engineering and Technology - Module EEE (2014B),"Open University module in Engineering and Technology. Course duration: 241 days. This module includes various learning resources and activities including: dualpane (1), forumng (5), homepage (1), oucollaborate (2), oucontent (46), ouwiki (2), page (4), quiz (2), resource (32), subpage (7), url (7).",Open University,
oulad_FFF_2013J,Health and Social Care - Module FFF (2013J),"Open University module in Health and Social Care. Course duration: 268 days. This module includes various learning resources and activities including: dataplus (5), dualpane (6), folder (1), forumng (7), glossary (1), homepage (1), oucollaborate (16), oucontent (107), ouwiki (8), page (26), questionnaire (14), quiz (11), repeatactivity (3), resource (136), subpage (55), url (132).",Open University,
oulad_FFF_2014J,Health and Social Care - Module FFF (2014J),"Open University module in Health and Social Care. Course duration: 269 days. This module includes various learning resources and activities including: dataplus (5), dualpane (2), forumng (7), glossary (1), homepage (1), htmlactivity (4), oucollaborate (15), oucontent (103), ouwiki (6), page (16), questionnaire (15), quiz (11), repeatactivity (2), resource (80), subpage (52), url (132).",Open University,
oulad_FFF_2013B,Health and Social Care - Module FFF (2013B),"Open University module in Health and Social Care. Course duration: 240 days. This module includes various learning resources and activities including: dataplus (5), dualpane (6), forumng (5), glossary (1), homepage (1), oucontent (108), ouelluminate (16), ouwiki (6), page (26), questionnaire (14), quiz (11), resource (129), subpage (55), url (125).",Open University,
oulad_FFF_2014B,Health and Social Care - Module FFF (2014B),"Open University module in Health and Social Care. Course duration: 241 days. This module includes various learning resources and activities including: dataplus (5), dualpane (3), folder (1), forumng (6), glossary (1), homepage (1), oucollaborate (16), oucontent (101), ouwiki (6), page (18), questionnaire (14), quiz (11), resource (109), subpage (53), url (133).",Open University,
oulad_GGG_2013J,Science and Mathematics - Module GGG (2013J),"Open University module in Science and Mathematics. Course duration: 261 days. This module includes various learning resources and activities including: forumng (2), glossary (1), homepage (1), oucontent (24), quiz (9), resource (95), subpage (5).",Open University,
oulad_GGG_2014J,Science and Mathematics - Module GGG (2014J),"Open University module in Science and Mathematics. Course duration: 269 days. This module includes various learning resources and activities including: forumng (2), glossary (1), homepage (1), oucontent (26), quiz (8), resource (63), subpage (5).",Open University,
oulad_GGG_2014B,Science and Mathematics - Module GGG (2014B),"Open University module in Science and Mathematics. Course duration: 241 days. This module includes various learning resources and activities including: forumng (2), glossary (1), homepage (1), oucontent (25), quiz (9), resource (81), subpage (5).",Open University,
coursera_machine-learning,Machine Learning,Machine Learning by Stanford University. A curated course designed to build practical skills and confidence.,Stanford University,https://www.coursera.org/learn/machine-learning
coursera_indigenous-canada,Indigenous Canada,Indigenous Canada by University of Alberta. A curated course designed to build practical skills and confidence.,University of Alberta,https://www.coursera.org/learn/indigenous-canada
coursera_the-science-of-well-being,The Science of Well-Being,The Science of Well-Being by Yale University. A curated course designed to build practical skills and confidence.,Yale University,https://www.coursera.org/learn/the-science-of-well-being
coursera_technical-support-fundamentals,Technical Support Fundamentals,Technical Support Fundamentals by Google. A curated course designed to build practical skills and confidence.,Google,https://www.coursera.org/learn/technical-support-fundamentals
coursera_google-cbrs-cpi-training,Become a CBRS Certified Professional Installer by Google,Become a CBRS Certified Professional Installer by Google by Google - Spectrum Sharing. A curated course designed to build practical skills and confidence.,Google - Spectrum Sharing,https://www.coursera.org/learn/google-cbrs-cpi-training
coursera_financial-markets-global,Financial Markets,Financial Markets by Yale University. A curated course designed to build practical skills and confidence.,Yale University,https://www.coursera.org/learn/financial-markets-global
coursera_introduction-psychology,Introduction to Psychology,Introduction to Psychology by Yale University. A curated course designed to build practical skills and confidence.,Yale University,https://www.coursera.org/learn/introduction-psychology
coursera_python,Programming for Everybody (Getting Started with Python),Programming for Everybody (Getting Started with Python) by University of Michigan. A curated course designed to build practical skills and confidence.,University of Michigan,https://www.coursera.org/learn/python
coursera_computer-networking,The Bits and Bytes of Computer Networking,The Bits and Bytes of Computer Networking by Google. A curated course designed to build practical skills and confidence.,Google,https://www.coursera.org/learn/computer-networking
coursera_ai-for-everyone,AI For Everyone,AI For Everyone by DeepLearning.AI. A curated course designed to build practical skills and confidence.,DeepLearning.AI,https://www.coursera.org/learn/ai-for-everyone
coursera_python-crash-course,Crash Course on Python,Crash Course on Python by Google. A curated course designed to build practical skills and confidence.,Google,https://www.coursera.org/learn/python-crash-course
coursera_psychological-first-aid,Psychological First Aid,Psychological First Aid by Johns Hopkins University. A curated course designed to build practical skills and confidence.,Johns Hopkins University,https://www.coursera.org/learn/psychological-first-aid
coursera_neural-networks-deep-learning,Neural Networks and Deep Learning,Neural Networks and Deep Learning by DeepLearning.AI. A curated course designed to build practical skills and confidence.,DeepLearning.AI,https://www.coursera.org/learn/neural-networks-deep-learning
coursera_what-is-datascience,What is Data Science?,What is Data Science? by IBM. A curated course designed to build practical skills and confidence.,IBM,https://www.coursera.org/learn/what-is-datascience
coursera_negotiation-skills,Successful Negotiation: Essential Strategies and Skills,Successful Negotiation: Essential Strategies and Skills by University of Michigan. A curated course designed to build practical skills and confidence.,University of Michigan,https://www.coursera.org/learn/negotiation-skills
coursera_uva-darden-project-management,Fundamentals of Project Planning and Management,Fundamentals of Project Planning and Management by University of Virginia. A curated course designed to build practical skills and confidence.,University of Virginia,https://www.coursera.org/learn/uva-darden-project-management
coursera_project-management,Project Launch,"Project Launch by University of California, Irvine. A curated course designed to build practical skills and confidence.","University of California, Irvine",https://www.coursera.org/learn/project-management
coursera_brand,"Brand Management: Aligning Business, Brand and Behaviour","Brand Management: Aligning Business, Brand and Behaviour by London Business School. A curated course designed to build practical skills and confidence.",London Business School,https://www.coursera.org/learn/brand
coursera_sciwrite,Writing in the Sciences,Writing in the Sciences by Stanford University. A curated course designed to build practical skills and confidence.,Stanford University,https://www.coursera.org/learn/sciwrite
coursera_food-and-health,Stanford Introduction to Food and Health,Stanford Introduction to Food and Health by Stanford University. A curated course designed to build practical skills and confidence.,Stanford University,https://www.coursera.org/learn/food-and-health
coursera_html-css-javascript-for-web-developers,"HTML, CSS, and Javascript for Web Developers","HTML, CSS, and Javascript for Web Developers by Johns Hopkins University. A curated course designed to build practical skills and confidence.",Johns Hopkins University,https://www.coursera.org/learn/html-css-javascript-for-web-developers
coursera_excel-essentials,Excel Skills for Business: Essentials,Excel Skills for Business: Essentials by Macquarie University. A curated course designed to build practical skills and confidence.,Macquarie University,https://www.coursera.org/learn/excel-essentials
coursera_negotiation,Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator by Yale University. A curated course designed to build practical skills and confidence.,Yale University,https://www.coursera.org/learn/negotiation
coursera_everyday-excel-part-1,"Everyday Excel, Part 1","Everyday Excel, Part 1 by University of Colorado Boulder. A curated course designed to build practical skills and confidence.",University of Colorado Boulder,https://www.coursera.org/learn/everyday-excel-part-1
coursera_learning-how-to-learn,Learning How to Learn: Powerful mental tools to help you master tough subjects,Learning How to Learn: Powerful mental tools to help you master tough subjects by University of California San Diego. A curated course designed to build practical skills and confidence.,University of California San Diego,https://www.coursera.org/learn/learning-how-to-learn
coursera_gcp-fundamentals,Google Cloud Platform Fundamentals: Core Infrastructure,Google Cloud Platform Fundamentals: Core Infrastructure by Google Cloud. A curated course designed to build practical skills and confidence.,Google Cloud,https://www.coursera.org/learn/gcp-fundamentals
coursera_wharton-contagious-viral-marketing,Viral Marketing and How to Craft Contagious Content,Viral Marketing and How to Craft Contagious Content by University of Pennsylvania. A curated course designed to build practical skills and confidence.,University of Pennsylvania,https://www.coursera.org/learn/wharton-contagious-viral-marketing
coursera_python-data,Python Data Structures,Python Data Structures by University of Michigan. A curated course designed to build practical skills and confidence.,University of Michigan,https://www.coursera.org/learn/python-data
coursera_private-equity,Private Equity and Venture Capital,Private Equity and Venture Capital by Università Bocconi. A curated course designed to build practical skills and confidence.,Università Bocconi,https://www.coursera.org/learn/private-equity
coursera_learn-korean,First Step Korean,First Step Korean by Yonsei University. A curated course designed to build practical skills and confidence.,Yonsei University,https://www.coursera.org/learn/learn-korean
coursera_introduction-tensorflow,"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning","Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning by DeepLearning.AI. A curated course designed to build practical skills and confidence.",DeepLearning.AI,https://www.coursera.org/learn/introduction-tensorflow
coursera_os-power-user,Operating Systems and You: Becoming a Power User,Operating Systems and You: Becoming a Power User by Google. A curated course designed to build practical skills and confidence.,Google,https://www.coursera.org/learn/os-power-user
coursera_open-source-tools-for-data-science,Tools for Data Science,Tools for Data Science by IBM. A curated course designed to build practical skills and confidence.,IBM,https://www.coursera.org/learn/open-source-tools-for-data-science
coursera_deep-neural-network,"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization","Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization by DeepLearning.AI. A curated course designed to build practical skills and confidence.",DeepLearning.AI,https://www.coursera.org/learn/deep-neural-network
coursera_diversity-inclusion-workplace,Diversity and inclusion in the workplace,Diversity and inclusion in the workplace by ESSEC Business School. A curated course designed to build practical skills and confidence.,ESSEC Business School,https://www.coursera.org/learn/diversity-inclusion-workplace
coursera_clinical-trials,Design and Interpretation of Clinical Trials,Design and Interpretation of Clinical Trials by Johns Hopkins University. A curated course designed to build practical skills and confidence.,Johns Hopkins University,https://www.coursera.org/learn/clinical-trials
coursera_visual-elements-user-interface-design,Visual Elements of User Interface Design,Visual Elements of User Interface Design by California Institute of the Arts. A curated course designed to build practical skills and confidence.,California Institute of the Arts,https://www.coursera.org/learn/visual-elements-user-interface-design
coursera_mafash,Management of Fashion and Luxury Companies,Management of Fashion and Luxury Companies by Università Bocconi. A curated course designed to build practical skills and confidence.,Università Bocconi,https://www.coursera.org/learn/mafash
coursera_pap,Primeros Auxilios Psicológicos (PAP),Primeros Auxilios Psicológicos (PAP) by Universitat Autònoma de Barcelona. A curated course designed to build practical skills and confidence.,Universitat Autònoma de Barcelona,https://www.coursera.org/learn/pap
coursera_social-psychology,Social Psychology,Social Psychology by Wesleyan University. A curated course designed to build practical skills and confidence.,Wesleyan University,https://www.coursera.org/learn/social-psychology
coursera_project-planning,Initiating and Planning Projects,"Initiating and Planning Projects by University of California, Irvine. A curated course designed to build practical skills and confidence.","University of California, Irvine",https://www.coursera.org/learn/project-planning
coursera_computational-thinking-problem-solving,Computational Thinking for Problem Solving,Computational Thinking for Problem Solving by University of Pennsylvania. A curated course designed to build practical skills and confidence.,University of Pennsylvania,https://www.coursera.org/learn/computational-thinking-problem-solving
coursera_agile-atlassian-jira,Agile with Atlassian Jira,Agile with Atlassian Jira by Atlassian. A curated course designed to build practical skills and confidence.,Atlassian,https://www.coursera.org/learn/agile-atlassian-jira
coursera_fundamentals-of-graphic-design,Fundamentals of Graphic Design,Fundamentals of Graphic Design by California Institute of the Arts. A curated course designed to build practical skills and confidence.,California Institute of the Arts,https://www.coursera.org/learn/fundamentals-of-graphic-design
coursera_user-experience-design,Introduction to User Experience Design,Introduction to User Experience Design by Georgia Institute of Technology. A curated course designed to build practical skills and confidence.,Georgia Institute of Technology,https://www.coursera.org/learn/user-experience-design
coursera_wharton-marketing,Introduction to Marketing,Introduction to Marketing by University of Pennsylvania. A curated course designed to build practical skills and confidence.,University of Pennsylvania,https://www.coursera.org/learn/wharton-marketing
coursera_python-for-applied-data-science-ai,Python for Data Science and AI,Python for Data Science and AI by IBM. A curated course designed to build practical skills and confidence.,IBM,https://www.coursera.org/learn/python-for-applied-data-science-ai
coursera_uva-darden-market-analytics,Marketing Analytics,Marketing Analytics by University of Virginia. A curated course designed to build practical skills and confidence.,University of Virginia,https://www.coursera.org/learn/uva-darden-market-analytics
coursera_classification-vector-spaces-in-nlp,Natural Language Processing with Classification and Vector Spaces,Natural Language Processing with Classification and Vector Spaces by DeepLearning.AI. A curated course designed to build practical skills and confidence.,DeepLearning.AI,https://www.coursera.org/learn/classification-vector-spaces-in-nlp
coursera_wharton-quantitative-modeling,Fundamentals of Quantitative Modeling,Fundamentals of Quantitative Modeling by University of Pennsylvania. A curated course designed to build practical skills and confidence.,University of Pennsylvania,https://www.coursera.org/learn/wharton-quantitative-modeling
coursera_remote-team-management,How to Manage a Remote Team,How to Manage a Remote Team by GitLab. A curated course designed to build practical skills and confidence.,GitLab,https://www.coursera.org/learn/remote-team-management
coursera_linear-algebra-machine-learning,Mathematics for Machine Learning: Linear Algebra,Mathematics for Machine Learning: Linear Algebra by Imperial College London. A curated course designed to build practical skills and confidence.,Imperial College London,https://www.coursera.org/learn/linear-algebra-machine-learning
coursera_python-data-analysis,Introduction to Data Science in Python,Introduction to Data Science in Python by University of Michigan. A curated course designed to build practical skills and confidence.,University of Michigan,https://www.coursera.org/learn/python-data-analysis
coursera_wharton-customer-analytics,Customer Analytics,Customer Analytics by University of Pennsylvania. A curated course designed to build practical skills and confidence.,University of Pennsylvania,https://www.coursera.org/learn/wharton-customer-analytics
coursera_introduction-psych,Introduction to Psychology,Introduction to Psychology by University of Toronto. A curated course designed to build practical skills and confidence.,University of Toronto,https://www.coursera.org/learn/introduction-psych
coursera_careerdevelopment,English for Career Development,English for Career Development by University of Pennsylvania. A curated course designed to build practical skills and confidence.,University of Pennsylvania,https://www.coursera.org/learn/careerdevelopment
coursera_global-diplomacy,Global Diplomacy – Diplomacy in the Modern World,Global Diplomacy – Diplomacy in the Modern World by University of London. A curated course designed to build practical skills and confidence.,University of London,https://www.coursera.org/learn/global-diplomacy
coursera_game-theory-1,Game Theory,Game Theory by Stanford University. A curated course designed to build practical skills and confidence.,Stanford University,https://www.coursera.org/learn/game-theory-1
coursera_sql-for-data-science,SQL for Data Science,"SQL for Data Science by University of California, Davis. A curated course designed to build practical skills and confidence.","University of California, Davis",https://www.coursera.org/learn/sql-for-data-science
coursera_professional-emails-english,Write Professional Emails in English,Write Professional Emails in English by Georgia Institute of Technology. A curated course designed to build practical skills and confidence.,Georgia Institute of Technology,https://www.coursera.org/learn/professional-emails-english
coursera_medical-neuroscience,Medical Neuroscience,Medical Neuroscience by Duke University. A curated course designed to build practical skills and confidence.,Duke University,https://www.coursera.org/learn/medical-neuroscience
coursera_system-administration-it-infrastructure-services,System Administration and IT Infrastructure Services,System Administration and IT Infrastructure Services by Google. A curated course designed to build practical skills and confidence.,Google,https://www.coursera.org/learn/system-administration-it-infrastructure-services
coursera_womens-health-human-rights,International Women's Health and Human Rights,International Women's Health and Human Rights by Stanford University. A curated course designed to build practical skills and confidence.,Stanford University,https://www.coursera.org/learn/womens-health-human-rights
coursera_childnutrition,Child Nutrition and Cooking,Child Nutrition and Cooking by Stanford University. A curated course designed to build practical skills and confidence.,Stanford University,https://www.coursera.org/learn/childnutrition
coursera_neurobiology,Understanding the Brain: The Neurobiology of Everyday Life,Understanding the Brain: The Neurobiology of Everyday Life by The University of Chicago. A curated course designed to build practical skills and confidence.,The University of Chicago,https://www.coursera.org/learn/neurobiology
coursera_social-media-marketing-introduction,Introduction to Social Media Marketing,Introduction to Social Media Marketing by Facebook. A curated course designed to build practical skills and confidence.,Facebook,https://www.coursera.org/learn/social-media-marketing-introduction
coursera_forensic-accounting,Forensic Accounting and Fraud Examination,Forensic Accounting and Fraud Examination by West Virginia University. A curated course designed to build practical skills and confidence.,West Virginia University,https://www.coursera.org/learn/forensic-accounting
coursera_clinical-terminology,Clinical Terminology for International and U.S. Students,Clinical Terminology for International and U.S. Students by University of Pittsburgh. A curated course designed to build practical skills and confidence.,University of Pittsburgh,https://www.coursera.org/learn/clinical-terminology
coursera_science-exercise,Science of Exercise,Science of Exercise by University of Colorado Boulder. A curated course designed to build practical skills and confidence.,University of Colorado Boulder,https://www.coursera.org/learn/science-exercise
coursera_uva-darden-digital-product-management,Digital Product Management: Modern Fundamentals,Digital Product Management: Modern Fundamentals by University of Virginia. A curated course designed to build practical skills and confidence.,University of Virginia,https://www.coursera.org/learn/uva-darden-digital-product-management
coursera_datasciencemathskills,Data Science Math Skills,Data Science Math Skills by Duke University. A curated course designed to build practical skills and confidence.,Duke University,https://www.coursera.org/learn/datasciencemathskills
coursera_machine-learning-projects,Structuring Machine Learning Projects,Structuring Machine Learning Projects by DeepLearning.AI. A curated course designed to build practical skills and confidence.,DeepLearning.AI,https://www.coursera.org/learn/machine-learning-projects
coursera_american-law,An Introduction to American Law,An Introduction to American Law by University of Pennsylvania. A curated course designed to build practical skills and confidence.,University of Pennsylvania,https://www.coursera.org/learn/american-law
coursera_content-marketing,The Strategy of Content Marketing,"The Strategy of Content Marketing by University of California, Davis. A curated course designed to build practical skills and confidence.","University of California, Davis",https://www.coursera.org/learn/content-marketing
coursera_introduction-cybersecurity-cyber-attacks,Introduction to Cybersecurity Tools & Cyber Attacks,Introduction to Cybersecurity Tools & Cyber Attacks by IBM. A curated course designed to build practical skills and confidence.,IBM,https://www.coursera.org/learn/introduction-cybersecurity-cyber-attacks
coursera_data-scientists-tools,The Data Scientist’s Toolbox,The Data Scientist’s Toolbox by Johns Hopkins University. A curated course designed to build practical skills and confidence.,Johns Hopkins University,https://www.coursera.org/learn/data-scientists-tools
coursera_animal-welfare,Animal Behaviour and Welfare,Animal Behaviour and Welfare by The University of Edinburgh. A curated course designed to build practical skills and confidence.,The University of Edinburgh,https://www.coursera.org/learn/animal-welfare
coursera_convolutional-neural-networks-tensorflow,Convolutional Neural Networks in TensorFlow,Convolutional Neural Networks in TensorFlow by DeepLearning.AI. A curated course designed to build practical skills and confidence.,DeepLearning.AI,https://www.coursera.org/learn/convolutional-neural-networks-tensorflow
coursera_positive-psychology-visionary-science,Positive Psychology: Martin E. P. Seligman’s Visionary Science,Positive Psychology: Martin E. P. Seligman’s Visionary Science by University of Pennsylvania. A curated course designed to build practical skills and confidence.,University of Pennsylvania,https://www.coursera.org/learn/positive-psychology-visionary-science
coursera_cancer,Introduction to the Biology of Cancer,Introduction to the Biology of Cancer by Johns Hopkins University. A curated course designed to build practical skills and confidence.,Johns Hopkins University,https://www.coursera.org/learn/cancer
coursera_convolutional-neural-networks,Convolutional Neural Networks,Convolutional Neural Networks by DeepLearning.AI. A curated course designed to build practical skills and confidence.,DeepLearning.AI,https://www.coursera.org/learn/convolutional-neural-networks
coursera_python-network-data,Using Python to Access Web Data,Using Python to Access Web Data by University of Michigan. A curated course designed to build practical skills and confidence.,University of Michigan,https://www.coursera.org/learn/python-network-data
coursera_physiology,Introductory Human Physiology,Introductory Human Physiology by Duke University. A curated course designed to build practical skills and confidence.,Duke University,https://www.coursera.org/learn/physiology
coursera_systematic-review,Introduction to Systematic Review and Meta-Analysis,Introduction to Systematic Review and Meta-Analysis by Johns Hopkins University. A curated course designed to build practical skills and confidence.,Johns Hopkins University,https://www.coursera.org/learn/systematic-review
coursera_organizational-analysis,Organizational Analysis,Organizational Analysis by Stanford University. A curated course designed to build practical skills and confidence.,Stanford University,https://www.coursera.org/learn/organizational-analysis
coursera_communication-strategies-virtual-age,Communication Strategies for a Virtual Age,Communication Strategies for a Virtual Age by University of Toronto. A curated course designed to build practical skills and confidence.,University of Toronto,https://www.coursera.org/learn/communication-strategies-virtual-age
coursera_moral-politics,Moral Foundations of Politics,Moral Foundations of Politics by Yale University. A curated course designed to build practical skills and confidence.,Yale University,https://www.coursera.org/learn/moral-politics
coursera_etudier-en-france,Étudier en France: French Intermediate course B1-B2,Étudier en France: French Intermediate course B1-B2 by École Polytechnique. A curated course designed to build practical skills and confidence.,École Polytechnique,https://www.coursera.org/learn/etudier-en-france
coursera_company-future-management,Managing the Company of the Future,Managing the Company of the Future by London Business School. A curated course designed to build practical skills and confidence.,London Business School,https://www.coursera.org/learn/company-future-management
coursera_finance-for-non-finance,Finance for Non-Finance Professionals,Finance for Non-Finance Professionals by Rice University. A curated course designed to build practical skills and confidence.,Rice University,https://www.coursera.org/learn/finance-for-non-finance
coursera_site-reliability-engineering-slos,Site Reliability Engineering: Measuring and Managing Reliability,Site Reliability Engineering: Measuring and Managing Reliability by Google Cloud. A curated course designed to build practical skills and confidence.,Google Cloud,https://www.coursera.org/learn/site-reliability-engineering-slos
coursera_autism-spectrum-disorder,Autism Spectrum Disorder,"Autism Spectrum Disorder by University of California, Davis. A curated course designed to build practical skills and confidence.","University of California, Davis",https://www.coursera.org/learn/autism-spectrum-disorder
coursera_data-science-methodology,Data Science Methodology,Data Science Methodology by IBM. A curated course designed to build practical skills and confidence.,IBM,https://www.coursera.org/learn/data-science-methodology
coursera_wharton-accounting,Introduction to Financial Accounting,Introduction to Financial Accounting by University of Pennsylvania. A curated course designed to build practical skills and confidence.,University of Pennsylvania,https://www.coursera.org/learn/wharton-accounting
coursera_marketing-digital,Marketing in a Digital World,Marketing in a Digital World by University of Illinois at Urbana-Champaign. A curated course designed to build practical skills and confidence.,University of Illinois at Urbana-Champaign,https://www.coursera.org/learn/marketing-digital
coursera_wind-energy,Wind Energy,Wind Energy by Technical University of Denmark (DTU). A curated course designed to build practical skills and confidence.,Technical University of Denmark (DTU),https://www.coursera.org/learn/wind-energy
coursera_sustainable-finance,Principles of Sustainable Finance,Principles of Sustainable Finance by Erasmus University Rotterdam. A curated course designed to build practical skills and confidence.,Erasmus University Rotterdam,https://www.coursera.org/learn/sustainable-finance
coursera_financial-engineering-1,Financial Engineering and Risk Management Part I,Financial Engineering and Risk Management Part I by Columbia University. A curated course designed to build practical skills and confidence.,Columbia University,https://www.coursera.org/learn/financial-engineering-1
coursera_philosophy,Introduction to Philosophy,Introduction to Philosophy by The University of Edinburgh. A curated course designed to build practical skills and confidence.,The University of Edinburgh,https://www.coursera.org/learn/philosophy
coursera_analytics-business-metrics,Business Metrics for Data-Driven Companies,Business Metrics for Data-Driven Companies by Duke University. A curated course designed to build practical skills and confidence.,Duke University,https://www.coursera.org/learn/analytics-business-metrics
coursera_python-basics,Python Basics,Python Basics by University of Michigan. A curated course designed to build practical skills and confidence.,University of Michigan,https://www.coursera.org/learn/python-basics
coursera_sustainability,Introduction to Sustainability,Introduction to Sustainability by University of Illinois at Urbana-Champaign. A curated course designed to build practical skills and confidence.,University of Illinois at Urbana-Champaign,https://www.coursera.org/learn/sustainability
coursera_positive-psychiatry,Positive Psychiatry and Mental Health,Positive Psychiatry and Mental Health by The University of Sydney. A curated course designed to build practical skills and confidence.,The University of Sydney,https://www.coursera.org/learn/positive-psychiatry
coursera_crypto,Cryptography I,Cryptography I by Stanford University. A curated course designed to build practical skills and confidence.,Stanford University,https://www.coursera.org/learn/crypto
coursera_teach-online,Learning to Teach Online,Learning to Teach Online by UNSW Sydney (The University of New South Wales). A curated course designed to build practical skills and confidence.,UNSW Sydney (The University of New South Wales),https://www.coursera.org/learn/teach-online
coursera_it-security,IT Security: Defense against the digital dark arts,IT Security: Defense against the digital dark arts by Google. A curated course designed to build practical skills and confidence.,Google,https://www.coursera.org/learn/it-security
coursera_entreprise-changement-climatique,Entreprise et changement climatique,Entreprise et changement climatique by ESSEC Business School. A curated course designed to build practical skills and confidence.,ESSEC Business School,https://www.coursera.org/learn/entreprise-changement-climatique
coursera_neuromarketing,An Introduction to Consumer Neuroscience & Neuromarketing,An Introduction to Consumer Neuroscience & Neuromarketing by Copenhagen Business School. A curated course designed to build practical skills and confidence.,Copenhagen Business School,https://www.coursera.org/learn/neuromarketing
coursera_gamification,Gamification,Gamification by University of Pennsylvania. A curated course designed to build practical skills and confidence.,University of Pennsylvania,https://www.coursera.org/learn/gamification
coursera_algorithms-divide-conquer,"Divide and Conquer, Sorting and Searching, and Randomized Algorithms","Divide and Conquer, Sorting and Searching, and Randomized Algorithms by Stanford University. A curated course designed to build practical skills and confidence.",Stanford University,https://www.coursera.org/learn/algorithms-divide-conquer
coursera_contabilidad,Contabilidad para no contadores,Contabilidad para no contadores by Universidad Nacional Autónoma de México. A curated course designed to build practical skills and confidence.,Universidad Nacional Autónoma de México,https://www.coursera.org/learn/contabilidad
